Country,Latitude,Longitude,EconomicStatus,CoastalPopulation,WasteGenerationRate,PlasticWasteStream,InadequatelyManagedWaste,LitteredWaste,WasteGeneration,PlasticWasteGeneration,InadequatelyManagedPlasticWaste,PlasticWasteLittered,MismanagedPlasticWaste,"MismanagedPlasticWaste2010
  [tonnes]7","MismanagedPlasticWaste2025
  [tonnes]7"
Costa Rica,9.75,-83.75,UMI,2479298,1.36,19,16,2,3371845,638965,102536,12779,0.05,42090,75895
Cote d'Ivoire,7.54,-5.55,LMI,6230583,0.79,13,82,2,4922161,637420,520288,12748,0.09,194558,537163
Croatia,45.10,15.20,HIC,1602782,2.10,12,9,2,3365842,402218,37053,8044,0.03,16461,19593
Cuba,21.52,-77.78,UMI,0,0.81,11,23,2,9180112,1005222,228196,20104,0.02,90630,180454
Cyprus,35.13,33.43,HIC,840556,2.07,12,0,2,1739951,207924,831,4158,0.01,1821,2611
Denmark,56.26,9.50,HIC,5376386,2.34,2,0,2,0,245324,0,4906,0,1791,4233
Djibouti,11.83,42.59,LMI,621744,0.79,13,73,2,491178,63608,46191,1272,0.08,17324,45612
Dominica,15.42,-61.37,UMI,70138,1.24,12,19,2,86971,10393,1938,208,0.03,783,1428
Dominican Republic,18.74,-70.16,UMI,8232586,1.20,12,25,2,9879103,1180553,300295,23611,0.04,118226,228671
Ecuador,-1.83,-78.18,LMI,6400048,1.13,13,30,2,7232054,936551,280948,18731,0.05,109383,211021
Egypt,26.82,30.80,LMI,0,1.37,13,67,2,0,3858944,2572170,77179,0.12,967012,1937428
El Salvador,13.79,-88.90,LMI,6410726,1.13,13,33,2,7244120,938114,306531,18762,0.05,118732,226860
Equatorial Guinea,1.65,10.27,UMI,351600,1.20,12,30,2,421920,50419,15367,1008,0.05,5977,14124
Eritrea,15.18,39.78,LI,1266222,0.50,9,77,2,633111,56663,43411,1133,0.04,16259,43484
Estonia,58.60,25.01,HIC,878021,1.47,12,9,2,1290691,154238,13296,3085,0.02,5979,8367
Falkland Islands,-51.80,-59.52,HIC,2602,2.10,12,0,2,5464,653,0,13,0.01,5,7
Faroe Islands,61.89,-6.91,HIC,50554,2.10,12,0,2,106163,12687,0,254,0.01,93,131
Fiji,-16.58,179.41,UMI,896145,2.10,9,78,2,1881905,168430,131582,3369,0.15,49257,70995
Finland,61.92,25.75,HIC,2927674,2.13,11,0,2,6235946,682836,0,13657,0.01,4985,6422
France,46.23,2.21,HIC,0,1.92,10,0,2,0,3302562,0,66051,0,24109,34671
French Guiana,3.93,-53.13,UMI,167631,1.20,12,25,2,201157,24038,5986,481,0.04,2360,5577
French Polynesia,-17.68,-149.41,HIC,270618,2.10,12,3,2,568298,67912,2165,1358,0.01,1286,1824
Gabon,-0.80,11.61,UMI,862328,0.45,12,34,2,388048,46372,15750,927,0.02,6087,15446
Georgia,42.32,43.36,LMI,1124249,1.69,4,51,2,1899981,75049,38149,1501,0.04,14472,24532
Germany,51.17,10.45,HIC,8837035,2.11,23,0,2,0,4279290,0,85586,0.01,31239,33317
Ghana,7.95,-1.02,LMI,7727702,0.79,5,81,2,6104885,302192,244835,6044,0.03,91571,325116
Gibraltar,36.14,-5.35,HIC,33483,2.10,12,0,2,70314,8403,9,168,0.01,65,92
Greece,39.07,21.82,HIC,9794702,2,10,0,2,0,1949146,0,38983,0,14229,18621
Greenland,71.71,-42.60,HIC,57068,2.10,12,0,2,119843,14321,0,286,0.01,105,148
Grenada,12.26,-61.60,UMI,96121,2.71,12,18,2,260488,31128,5536,623,0.06,2248,2452
Guadeloupe,17,-62.07,UMI,466166,1.20,12,25,2,559399,66848,16646,1337,0.04,6564,11502
Guam,13.44,144.79,HIC,190809,2.10,12,0,2,400699,47884,118,958,0.01,393,574
